mostrador1_text1, 2021-01-31 14:51:12, 120, 1.4
mostrador1_text1, 2021-01-31 14:51:13, 120, 1.4
mostrador1_text1, 2021-01-31 14:51:14, 120, 1.1
mostrador1_text1, 2021-01-31 14:51:15, 121, 1.1
mostrador1_text1, 2021-01-31 14:51:16, 116, 0.8
mostrador1_text1, 2021-01-31 14:51:17, 120, 1.3
mostrador1_text1, 2021-01-31 14:51:18, 120, 1.0
mostrador1_text1, 2021-01-31 14:51:19, 120, 2.4
mostrador1_text1, 2021-01-31 14:51:20, 120, 1.9
mostrador1_text2, 2021-01-31 14:51:12, 120, 1.4
mostrador1_text2, 2021-01-31 14:51:13, 120, 1.4
mostrador1_text2, 2021-01-31 14:51:14, 120, 1.1
mostrador1_text2, 2021-01-31 14:51:15, 121, 1.1
mostrador1_text2, 2021-01-31 14:51:16, 116, 0.8
mostrador1_text2, 2021-01-31 14:51:17, 120, 1.3
mostrador1_text2, 2021-01-31 14:51:18, 120, 1.0
mostrador1_text2, 2021-01-31 14:51:19, 120, 2.4
mostrador1_text2, 2021-01-31 14:51:20, 120, 1.9
